Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Carvone ,7439,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC(CC1=O)C(=C)C,C10H14O,150.22,1,1,0,47.32,17.07,2.27,2.71,2.49,2.1,2.44,-2.41,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.775,No,No,1.86,1.972,No,Yes,0.41,1.445
Citral ,638011,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(=CCCC(=CC=O)C)C,C10H16O,152.23,4,1,0,49.44,17.07,2.47,3.03,2.88,2.49,2.71,-2.43,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.543,No,No,1.815,2.133,No,Yes,1.036,0.945
Citronellal,7794,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(CCC=C(C)C)CC=O,C10H18O,154.25,5,1,0,49.91,17.07,2.49,3.83,2.96,2.59,2.94,-2.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.59,No,No,1.634,2.128,No,Yes,0.804,0.825
Citronellol,8842,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(CCC=C(C)C)CCO,C10H20O,156.27,5,1,1,50.87,20.23,2.72,3.91,2.75,2.7,2.92,-2.94,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.7,No,No,1.669,2.025,No,Yes,0.699,1.093
Geraniol,637566,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
Limonene ,22311,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC(CC1)C(=C)C,C10H16,136.23,1,0,0,47.12,0.0,2.72,4.57,3.31,3.27,3.37,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.777,No,No,1.88,2.336,No,Yes,0.579,1.203
Linalool ,6549,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Myrcene,31253,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
p-Cymene,7463,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CC=C(C=C1)C(C)C,C10H14,134.22,1,0,0,45.99,0.0,2.51,4.1,3.12,4.47,3.5,-3.63,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,0.903,No,No,1.827,2.328,No,Yes,0.462,0.869
Sabinene ,18818,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(C)C12CCC(=C)C1C2,C10H16,136.23,1,0,0,45.22,0.0,2.65,3.09,3.0,4.29,3.25,-2.57,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.369,No,No,1.549,2.309,No,No,0.788,0.726
Tagetonol ,522417,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(C)CC(=O)CC(C)(C=C)O,C10H18O2,170.25,5,2,1,51.11,37.3,2.55,1.33,1.93,1.66,1.92,-1.4,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.873,No,No,1.602,2.667,No,Yes,0.55,1.375
Terpinen-4-ol ,11230,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC(CC1)(C(C)C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.26,2.5,2.3,2.6,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.857,No,No,1.811,2.02,No,Yes,0.189,1.545
